symbol,name,sector_name,list_days,amount_proxy,turnover_rate,total_mv,source,group
301171.SZ,易点天下,互联网,1365,6229428514.200178,23.2457,2679819.7147,,
301183.SZ,东田微,元器件,1452,3456440137.2226534,16.4787,2097519.9119,,
301196.SZ,唯科科技,专用机械,1585,1817661740.07232,9.3592,1942112.296,,
301200.SZ,大族数控,专用机械,1537,1753278721.1297102,1.6154,10853526.8115,,
301205.SZ,联特科技,通信设备,1340,3724200485.75232,10.3824,3587032.368,,
301217.SZ,铜冠铜箔,元器件,1569,3247093388.4480968,4.7077,6897409.3261,,
301219.SZ,腾远钴业,小金属,1520,1342512892.406337,5.2729,2546061.7353,,
301225.SZ,恒勃股份,汽车配件,1064,1972788512.7707996,15.7022,1256377.14,,
301232.SZ,飞沃科技,机械基件,1065,1581083094.2815802,9.6956,1630722.2805,,
301246.SZ,宏源药业,化学制药,1152,2463635377.089432,18.3631,1341622.8072,,
301261.SZ,恒工精密,机械基件,1040,1953535270.49499,22.5609,865894.211,,
301269.SZ,华大九天,,,,,,screenshot_watchlist,半导体
301291.SZ,明阳电气,电气设备,1050,1003578897.062708,6.1967,1619537.6524,screenshot_watchlist,电气设备
301292.SZ,海科新源,化工原料,1043,2252759138.639688,12.3384,1825811.4007,,
301297.SZ,富乐德,半导体,1232,4880428901.592299,12.1205,4026590.406,,
301307.SZ,美利信,通信设备,1117,1411969479.57,11.3655,1242329.4,,
301308.SZ,江波龙,半导体,1379,20994603928.838715,8.4822,24751366.3069,,
301312.SZ,智立方,专用机械,1404,1226309015.64416,8.576,1429931.2216,,
301316.SZ,慧博云通,软件服务,1310,2643725483.84,11.1556,2369864.0,,
301317.SZ,鑫磊股份,机械基件,1212,2397901139.5955,19.5449,1226867.95,,
301319.SZ,唯特偶,元器件,1324,1783874349.5263247,13.3525,1335985.2833,screenshot_watchlist,元器件
301338.SZ,凯格精机,专用机械,1368,1414946993.6,6.6826,2117360.0,,
301358.SZ,湖南裕能,电气设备,1191,3499410970.966547,4.3459,8052212.3633,,
301362.SZ,民爆光电,电气设备,1015,1507173391.224,7.9204,1902900.6,,
301373.SZ,凌玮科技,化工原料,1192,3130423686.87628,23.5432,1329650.8915,,
301377.SZ,鼎泰高科,机械基件,1270,12408647298.1,12.2189,10155290.0,,
301387.SZ,光大同创,元器件,1123,1465246701.775885,14.4823,1011749.9995,,
301392.SZ,汇成真空,专用机械,709,3003061068.0,15.9246,1885800.0,,
301396.SZ,宏景科技,软件服务,1281,3733052758.8530025,7.6379,4887538.1438,,
301413.SZ,安培龙,电器仪表,879,2332688127.653079,18.1167,1287589.9737,,
301421.SZ,波长光电,元器件,996,2360052213.91658,19.1519,1232280.982,,
301486.SZ,致尚科技,元器件,1043,6359054342.493888,19.1904,3313664.3022,,
301488.SZ,豪恩汽电,汽车配件,1046,2620971796.96,19.4942,1344488.0,,
301489.SZ,思泉新材,元器件,934,1343252647.91914,7.0861,1895616.274,,
301500.SZ,飞南资源,环境保护,967,2157138404.9848948,13.2185,1631908.6167,,
301511.SZ,德福科技,电气设备,1002,5933755549.481759,10.2648,5780683.062,,
301526.SZ,国际复材,玻璃,871,10987027007.348106,15.5727,7055312.8278,,
301529.SZ,福赛科技,汽车配件,977,1809527194.192608,13.1016,1381149.7788,,
301536.SZ,星宸科技,半导体,778,1746310448.9905758,4.6273,3773929.6112,,
301538.SZ,骏鼎达,塑料,786,2316260419.2,25.2514,917280.0,,
301550.SZ,斯菱智驱,汽车配件,973,2954101829.338,6.9688,4239039.475,,
301563.SZ,云汉芯城,元器件,227,1813434396.3716311,16.4691,1101113.2341,,
301590.SZ,优优绿能,电气设备,344,1914847607.572044,20.7397,923276.4252,,
301603.SZ,乔锋智能,机床制造,674,1902174507.06,11.4825,1656585.68,,
301611.SZ,珂玛科技,半导体,637,9240575803.2,16.9281,5458720.0,,
301626.SZ,苏州天脉,元器件,568,1295830007.9999998,4.015,3227472.0,,
301629.SZ,矽电股份,半导体,417,2338947784.063674,13.7662,1699051.1427,,
301630.SZ,同宇新材,化工原料,309,1580117532.0,15.5554,1015800.0,,
301638.SZ,南网数字,软件服务,178,11466875645.091614,12.4185,9233704.2679,,
301656.SZ,联合动力,汽车配件,232,3157091221.416247,6.7187,4698961.4381,,
301658.SZ,首航新能,电气设备,408,2685102686.7894897,15.8814,1690721.6535,,
301667.SZ,纳百川,汽车配件,143,1776704716.286976,15.3664,1156227.0384,,
301680.SZ,固德电材,汽车配件,70,1283249944.872,13.4323,955346.4,,
301696.SZ,三瑞智能,,,,,,lianban_pool,电气设备
302132.SZ,中航成飞,航空,5740,2528168793.5579395,1.3873,18223663.1843,,
600000.SH,浦发银行,银行,9683,1559961535.259484,0.5164,30208395.3381,,
600010.SH,包钢股份,普钢,9198,3274724958.9477925,2.7286,12001484.1272,,
600011.SH,华能国际,火力发电,8926,1752886308.943197,1.4829,11820664.2993,,
600021.SH,上海电力,火力发电,8234,1201627215.155424,2.5143,4779171.9968,,
600026.SH,中远海能,水运,8758,1930557781.705848,1.6152,11952437.9749,,
600027.SH,华电国际,火力发电,7771,1236789111.656278,1.9946,6200687.4143,,
600028.SH,中国石化,石油加工,9046,1841812879.350271,0.2969,62034788.7959,,
600030.SH,中信证券,证券,8530,4241062501.13184,1.086,39052140.8944,,
600031.SH,三一重工,工程机械,8352,1911398674.33496,1.016,18812979.0781,,
600036.SH,招商银行,银行,8802,3781966785.335074,0.3983,94952718.6878,,
600050.SH,中国联通,,,,,,screenshot_watchlist,电信运营
